Instan,TanggalWaktu,Musim,Tahun,Bulan,Libur,HariKerja,HariKerjaAktif,KondisiCuaca,Suhu,SuhuTerasa,Kelembaban,KecepatanAngin,Kasual,Terdaftar,Jumlah,Suhu Celcius,SuhuTerasa Celcius
1,2011-01-01,Musim Semi,2011,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,14.110847,18.18125
2,2011-01-02,Musim Semi,2011,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,14.902598000000001,17.686950000000003
3,2011-01-03,Musim Semi,2011,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,8.050924,9.47025
4,2011-01-04,Musim Semi,2011,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,8.200000000000001,10.6061
5,2011-01-05,Musim Semi,2011,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,9.305237,11.4635
6,2011-01-06,Musim Semi,2011,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,8.378268,11.66045
7,2011-01-07,Musim Semi,2011,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,8.057402,10.44195
8,2011-01-08,Musim Semi,2011,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,6.765000000000001,8.1127
9,2011-01-09,Musim Semi,2011,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,5.671653,5.80875
10,2011-01-10,Musim Semi,2011,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,6.184153,7.5443999999999996
11,2011-01-11,Musim Semi,2011,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,6.9327309999999995,9.5732
12,2011-01-12,Musim Semi,2011,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,7.0818069999999995,8.02365
13,2011-01-13,Musim Semi,2011,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,6.765000000000001,7.544149999999999
14,2011-01-14,Musim Semi,2011,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,6.59567,9.42065
15,2011-01-15,Musim Semi,2011,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,9.566653,12.4056
16,2011-01-16,Musim Semi,2011,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,9.498347,11.71085
17,2011-01-17,Musim Semi,2011,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,7.209153,8.838550000000001
18,2011-01-18,Musim Semi,2011,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,8.883347,11.61665
19,2011-01-19,Musim Semi,2011,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,11.979134,14.921100000000001
20,2011-01-20,Musim Semi,2011,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,10.728347,12.7525
21,2011-01-21,Musim Semi,2011,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,7.2775,7.89165
22,2011-01-22,Musim Semi,2011,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,2.4243464,3.9534800000000003
23,2011-01-23,Musim Semi,2011,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,3.9573897000000002,4.941955
24,2011-01-24,Musim Semi,2011,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,3.9930433,5.8965
25,2011-01-25,Musim Semi,2011,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,9.162598000000001,11.7263
26,2011-01-26,Musim Semi,2011,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,8.9175,10.18
27,2011-01-27,Musim Semi,2011,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,7.995,10.985
28,2011-01-28,Musim Semi,2011,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,8.342597999999999,11.165849999999999
29,2011-01-29,Musim Semi,2011,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,8.057402,10.606300000000001
30,2011-01-30,Musim Semi,2011,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,8.877402,12.5161
31,2011-01-31,Musim Semi,2011,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,7.414153,9.3125
32,2011-02-01,Musim Semi,2011,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,7.8791340000000005,11.7265
33,2011-02-02,Musim Semi,2011,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,10.66,12.72085
34,2011-02-03,Musim Semi,2011,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,7.665237,8.8939
35,2011-02-04,Musim Semi,2011,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,8.663464,11.429350000000001
36,2011-02-05,Musim Semi,2011,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,9.566653,12.152899999999999
37,2011-02-06,Musim Semi,2011,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,11.719153,14.58355
38,2011-02-07,Musim Semi,2011,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,11.138347,15.1829
